Potential (V);Current (A)
0.4503453453453454;-0.44358046683631136
0.4481441441441443;-0.443681549005517
0.445942942942943;-0.44377586622469234
0.4437417417417419;-0.44386467922713974
0.44154054054054054;-0.4439485739191705
0.4393393393393395;-0.44402868889438213
0.4371381381381382;-0.4441052080968713
0.4349369369369371;-0.4441791124421512
0.4327357357357359;-0.44425036679331953
0.4305345345345345;-0.44431977553327984
0.42833333333333345;-0.4443872471165014
0.42613213213213214;-0.4444533548647098
0.4239309309309311;-0.4445180747938494
0.42172972972972994;-0.4445817447968199
0.4195285285285287;-0.4446444021326007
0.41732732732732736;-0.4447062359630841
0.41512612612612615;-0.4447673146971729
0.4129249249249252;-0.4448277331322292
0.41072372372372395;-0.44488757466890094
0.40852252252252247;-0.44494687362506385
0.4063213213213213;-0.4450057202906962
0.4041201201201203;-0.4450641095142522
0.4019189189189192;-0.4451221348571763
0.3997177177177179;-0.44517976469278486
0.3975165165165166;-0.44523709299320446
0.39531531531531544;-0.4452940745064631
0.39311411411411423;-0.4453507921937228
0.39091291291291314;-0.44540721329179406
0.38871171171171187;-0.44546339228767323
0.3865105105105105;-0.44551931352660495
0.38430930930930945;-0.4455750096710521
0.3821081081081083;-0.44563047916641324
0.37990690690690704;-0.44568573746224915
0.37770570570570583;-0.4457407949523688
0.3755045045045047;-0.44579565322420245
0.3733033033033034;-0.4458503329302773
0.37110210210210215;-0.44590482438993717
0.36890090090090105;-0.4459591570411715
0.3666996996997;-0.44601331210038764
0.3644984984984987;-0.4460673263809379
0.36229729729729726;-0.44612117394723777
0.36009609609609633;-0.44617489352081124
0.3578948948948951;-0.446228465963498
0.35569369369369397;-0.4462819190952193
0.3534924924924925;-0.44633524410048053
0.35129129129129133;-0.4463884595269399
0.3490900900900903;-0.4464415653576937
0.3468888888888892;-0.44649457270624604
0.34468768768768787;-0.44654748868221134
0.34248648648648655;-0.44660031887345003
0.34028528528528534;-0.44665307571952445
0.33808408408408436;-0.4467057613165318
0.3358828828828829;-0.4467583914740358
0.33368168168168183;-0.4468109670020371
0.33148048048048057;-0.4468635049209842
0.32927927927927947;-0.44691600717456914
0.3270780780780782;-0.44696848930826194
0.324876876876877;-0.44702095795111535
0.32267567567567607;-0.4470734247378308
0.3204744744744746;-0.44712590093036403
0.31827327327327326;-0.44717839604721343
0.31607207207207216;-0.4472309238332022
0.31387087087087107;-0.44728349434822734
0.31166966966966975;-0.4473361211881266
0.3094684684684684;-0.44738881793548946
0.3072672672672674;-0.4474415950739319
0.30506606606606623;-0.4474944730635884
0.3028648648648651;-0.44754745593148454
0.30066366366366365;-0.4476005747995392
0.2984624624624624;-0.447653823456452
0.29626126126126134;-0.4477072479626353
0.29406006006006025;-0.4477608312140348
0.2918588588588591;-0.44781462816461415
0.2896576576576576;-0.4478686210405666
0.28745645645645646;-0.4479228629642552
0.28525525525525547;-0.4479773452350407
0.28305405405405426;-0.44803211315212227
0.28085285285285294;-0.44808717189397285
0.2786516516516517;-0.44814255418313365
0.2764504504504506;-0.44819828458109434
0.2742492492492494;-0.4482543777770295
0.2720480480480481;-0.44831088402404085
0.26984684684684707;-0.44836779370962343
0.2676456456456457;-0.4484251900151514
0.2654444444444445;-0.44848303182105825
0.26324324324324344;-0.4485414435445828
0.2610420420420421;-0.44860035193622594
0.2588408408408411;-0.44865990919815896
0.25663963963963976;-0.44872003691557444
0.25443843843843855;-0.44878087785729304
0.25223723723723734;-0.4488423833053834
0.25003603603603614;-0.4489046697440433
0.2478348348348352;-0.4489677276202089
0.2456336336336337;-0.44903163786100775
0.24343243243243243;-0.4490964411008341
0.24123123123123139;-0.4491621718834947
0.23903003003003026;-0.4492289338673426
0.2368288288288292;-0.4492967025703671
0.23462762762762757;-0.44936565962981384
0.2324264264264266;-0.44943570677035927
0.23022522522522543;-0.4495071210396131
0.22802402402402425;-0.44957972351644193
0.225822822822823;-0.4496538757772868
0.22362162162162164;-0.44972936745607023
0.22142042042042054;-0.4498065434881503
0.21921921921921947;-0.44988526439310417
0.21701801801801818;-0.4499658136940571
0.21481681681681705;-0.4500481429492211
0.21261561561561565;-0.4501324548299043
0.21041441441441466;-0.45021881580941375
0.20821321321321326;-0.4503073245764686
