Potential (V);ic (A);if (A) 
-0.1375;0.7999999991173952;0.00739390960391005
-0.135;0.799999999221104;0.0078239216435625
-0.13250000000000006;0.7999999993126267;0.008281204769712223
-0.13;0.7999999993933953;0.008767642248777801
-0.12749999999999995;0.7999999994646732;0.00928525269411756
-0.125;0.7999999995275757;0.009836199041123287
-0.1225;0.7999999995830871;0.010422797867111326
-0.12000000000000005;0.7999999996320756;0.011047529010198278
-0.1175;0.7999999996753079;0.011713045425289692
-0.11499999999999999;0.7999999997134601;0.012422183195615487
-0.11250000000000004;0.7999999997471295;0.013177971595343573
-0.10999999999999999;0.7999999997768427;0.0139836430716046
-0.10750000000000004;0.7999999998030644;0.014842642982772184
-0.10499999999999998;0.7999999998262048;0.015758638893118772
-0.10249999999999998;0.7999999998466263;0.016735529182156192
-0.10000000000000003;0.7999999998646482;0.01777745067887222
-0.09749999999999998;0.7999999998805525;0.018888784977243476
-0.09500000000000003;0.7999999998945879;0.02007416302886197
-0.09250000000000003;0.7999999999069742;0.021338467541851293
-0.08999999999999997;0.799999999917905;0.02268683264231374
-0.08750000000000002;0.7999999999275514;0.024124640176265352
-0.08499999999999996;0.7999999999360643;0.02565751194728062
-0.08250000000000002;0.799999999943577;0.027291297099677966
-0.08000000000000002;0.7999999999502069;0.0290320537715102
-0.07749999999999996;0.7999999999560578;0.030886024058932905
-0.07500000000000001;0.7999999999612211;0.03285960125853
-0.07250000000000001;0.7999999999657778;0.034959288292057696
-0.06999999999999995;0.799999999969799;0.037191646175948716
-0.0675;0.7999999999733477;0.03956323138424612
-0.06499999999999995;0.7999999999764794;0.04208052097806621
-0.0625;0.7999999999792431;0.044749824448645864
-0.06;0.7999999999816821;0.04757718135691634
-0.05749999999999994;0.7999999999838345;0.05056824406343882
-0.05499999999999999;0.799999999985734;0.05372814514205471
-0.05249999999999999;0.7999999999874103;0.05706134947102864
-0.050000000000000044;0.7999999999888897;0.06057149150748329
-0.04749999999999999;0.7999999999901952;0.06426119888154956
-0.04499999999999993;0.7999999999913473;0.06813190419719027
-0.04249999999999998;0.799999999992364;0.07218364779126483
-0.039999999999999925;0.7999999999932612;0.07641487516508005
-0.03749999999999998;0.799999999994053;0.08082223383579892
-0.03500000000000003;0.7999999999947519;0.08540037541740844
-0.03249999999999997;0.7999999999953685;0.0901417697763192
-0.030000000000000027;0.7999999999959128;0.09503653904501663
-0.02749999999999997;0.799999999996393;0.10007232003512768
-0.025000000000000022;0.7999999999968169;0.10523416407650191
